DATE,APU0000702421,APU0000708111,APU0000FS1101,APU0000701111,APU0000715211,PCU3113513113517
2018-04-01,3.328,2.081,4.153,0.472,0.617,97.4
2018-05-01,3.400,1.987,4.112,0.469,0.628,98.1
2018-06-01,3.490,1.628,4.064,0.469,0.629,94.8
2018-07-01,3.481,1.725,4.110,0.468,0.630,94.7
2018-08-01,3.351,1.622,4.085,0.464,0.628,90.2
2018-09-01,3.451,1.651,4.119,0.467,0.629,93.2
2018-10-01,3.456,1.660,4.111,0.453,0.602,91.3
2018-11-01,3.527,1.596,3.953,0.433,0.602,91.0
2018-12-01,3.527,1.595,3.931,0.437,0.573,92.8
2019-01-01,3.466,1.554,4.055,0.439,0.595,94.2
2019-02-01,3.516,1.557,4.154,0.443,0.592,92.4
2019-03-01,3.311,1.544,4.261,0.445,0.596,91.0
2019-04-01,3.426,1.463,4.019,0.434,0.591,95.1
2019-05-01,3.352,1.362,4.111,0.454,0.580,94.0
2019-06-01,3.504,1.203,3.921,0.448,0.586,99.1
2019-07-01,3.468,1.243,3.977,0.454,0.589,100.0
2019-08-01,3.496,1.219,4.036,0.450,0.589,94.6
2019-09-01,3.587,1.383,3.954,0.449,0.596,99.9
2019-10-01,3.602,1.282,3.979,0.432,0.589,100.6
2019-11-01,3.603,1.405,3.713,0.417,0.589,102.8
2019-12-01,3.584,1.535,3.624,0.429,0.589,99.0
2020-01-01,3.525,1.461,3.864,0.438,0.603,101.1
2020-02-01,3.551,1.449,3.762,0.438,0.612,101.1
2020-03-01,3.633,1.525,3.857,0.442,0.621,95.4
2020-04-01,3.826,2.019,3.725,.,0.640,96.6
2020-05-01,3.617,1.640,3.535,0.461,0.647,99.8
2020-06-01,3.717,1.554,3.491,0.468,0.626,96.0
2020-07-01,3.696,1.401,3.572,0.461,0.627,97.4
2020-08-01,3.769,1.328,3.623,0.459,0.629,103.3
2020-09-01,3.659,1.353,3.570,0.451,0.630,108.0
2020-10-01,3.848,1.408,3.586,0.452,0.634,102.7
2020-11-01,3.767,1.450,3.325,0.445,0.660,105.8
2020-12-01,3.793,1.481,3.533,0.450,0.674,107.9
2021-01-01,3.669,1.466,3.644,0.446,0.682,106.6
2021-02-01,3.800,1.597,3.661,0.440,0.680,104.5
2021-03-01,3.964,1.625,3.643,0.436,0.675,108.4
2021-04-01,3.939,1.620,3.521,0.437,0.675,111.8
2021-05-01,4.019,1.625,3.561,0.439,0.675,112.5
2021-06-01,4.068,1.642,3.585,0.356,0.675,108.6
2021-07-01,4.065,1.642,3.599,0.368,0.686,106.487
2021-08-01,4.065,1.709,3.634,0.371,0.681,110.413
2021-09-01,3.981,1.835,3.568,0.382,0.688,111.041
2021-10-01,3.815,1.821,3.652,0.396,0.713,108.997
2021-11-01,3.999,1.718,3.477,0.386,0.687,111.641
2021-12-01,4.089,1.788,3.474,0.388,0.691,109.398
2022-01-01,4.223,1.929,3.672,0.424,0.706,117.552
2022-02-01,4.150,2.005,3.774,0.428,0.718,117.856
2022-03-01,4.147,2.046,4.076,0.448,0.739,116.664
2022-04-01,4.174,2.520,4.150,0.455,0.740,118.120
2022-05-01,4.505,2.863,4.285,0.456,0.745,118.161
2022-06-01,4.567,2.707,4.386,0.498,0.765,118.896
2022-07-01,4.654,2.936,4.552,0.533,0.791,122.882
2022-08-01,4.676,3.116,4.699,0.549,0.821,127.485
2022-09-01,4.796,2.902,4.718,0.556,0.837,129.897
2022-10-01,4.869,3.419,4.847,0.534,0.846,133.051
2022-11-01,4.942,3.589,4.639,0.524,0.846,136.453
2022-12-01,4.974,4.250,4.811,0.522,0.844,137.243
2023-01-01,5.058,4.823,4.882,0.540,0.860,142.614
2023-02-01,5.177,4.211,4.869,0.550,0.876,141.027
2023-03-01,5.234,3.446,4.663,0.546,0.880,143.979
2023-04-01,5.193,3.270,4.452,0.542,0.893,147.867
2023-05-01,5.153,2.666,4.549,0.544,0.899,149.313
2023-06-01,5.111,2.219,4.452,0.551,0.918,150.627
2023-07-01,5.091,2.094,4.465,0.564,0.932,154.298
2023-08-01,5.056,2.043,4.411,0.566,0.950,159.247
